MIDUS_lipids,SHOW_lipids
DAG 16:0_18:2,EtherPE 16:1_22:4
DAG 16:1_18:2,EtherPE 18:1_22:4
DAG 18:0_18:2,EtherPE 18:2_20:4
DAG 18:1_18:2,EtherPE 18:2_22:5
DAG 18:1_20:4,HexCer_NS d18:2_22:0
DAG 18:2_20:4,LPE 18:2
FA 18:2,PE 18:0_22:4
PC 16:0_22:4,SM d18:2_23:0
PC 18:0_22:4,TAG 50:4
PC 18:1_20:4,TAG 52:4
PC 18:1_22:4,TAG 54:5
PC 18:2_16:1,TAG 58:5
PC 18:2_20:4,TAG 58:3
PC 20:0_18:2,
PC 20:0_20:4,
PE 16:0_18:2,
PE 16:0_22:4,
PE 18:0_18:2,
PE 18:0_20:4,
PE 18:0_22:4,
PE 18:1_18:2,
PE 18:1_20:4,
EtherPE 16:0_20:4,
EtherPE 18:1_22:4,
PI 18:1_20:4,
TAG 50:2,
TAG 50:3,
TAG 50:4,
TAG 52:2,
TAG 52:3,
TAG 52:4,
TAG 52:5,
TAG 54:6,
TAG 54:7,
TAG 56:6,
