Oxylipid,FA,Enzyme1,Enzyme2
tetranor_PGFM,ARA,COX,NA
tetranor_PGEM,ARA,COX,NA
20_hydroxy_PGF2a,ARA,COX,NA
18_carboxy_dinor_LTB4,ARA,LOX,NA
20_hydroxy_LTB4,ARA,LOX,NA
PGF3a,EPA,COX,NA
TXB2,ARA,COX,NA
PGE3,EPA,COX,NA
PGD3,EPA,COX,NA
5_iPF2a_VI,ARA,ROS,NA
8_iso_15_keto_PGF2a,ARA,ROS,NA
9.12.13_TriHOME,LA,LOX,NA
9.10.13_TriHOME,LA,LOX,NA
PGF2a,ARA,COX,NA
PGE2,ARA,COX,NA
11_dehydro_TXB2,ARA,COX,NA
PGD1,DGLA,COX,NA
PGK2,ARA,COX,NA
PGD2,ARA,COX,NA
RvD2,DHA,LOX,NA
11_trans_LTD4,ARA,LOX,NA
PGA2,ARA,COX,NA
12.13_DiHODE,ALA,CYP450,NA
15_deoxy_delta_12.14_PGD2,ARA,COX,NA
15.16_DiHODE,ALA,CYP450,NA
17.18_DiHETE,EPA,CYP450,NA
LTB4,ARA,LOX,NA
14.15_DiHETE,EPA,CYP450,NA
12.13_DiHOME,LA,CYP450,NA
9.10_DiHOME,LA,CYP450,NA
19.20_DiHDPA,DHA,CYP450,NA
14.15_DiHETrE,ARA,CYP450,NA
12_HHTrE,ARA,COX,NA
LTB3,EPA,LOX,NA
9_HOTE,GLA,LOX,NA
11.12_DiHETrE,ARA,CYP450,NA
EKODE,LA,ROS,NA
9_HOTrE,ALA,LOX,NA
8.9_DiHETrE,ARA,CYP450,NA
13_HOTrE,ALA,LOX,NA
20_HETE,ARA,CYP450,NA
15_deoxy_PGJ2,ARA,COX,NA
5.6_DiHETrE,ARA,LOX,NA
18_HETE,ARA,CYP450,LOX
17_HETE,ARA,CYP450,NA
16_HETE,ARA,CYP450,NA
5_HEPE,EPA,LOX,NA
13_HODE,LA,LOX,NA
9_HODE,LA,LOX,NA
15_16__EpODE,ALA,CYP450,NA
16_HDHA,DHA,ROS,NA
13_HpODE,LA,ROS,NA
13_OxoODE,LA,LOX,NA
15_HETE,ARA,LOX,CYP450
13_HDHA,DHA,COX,NA
17_18__EpETE,EPA,CYP450,NA
9_10__EpODE,ALA,CYP450,NA
9_HpODE,LA,LOX,NA
17_HDHA,DHA,LOX,NA
15_HpETE,ARA,LOX,NA
15_OxoETE,ARA,LOX,CYP450
12_13__EpODE,ALA,CYP450,NA
11_HETE,ARA,LOX,NA
11_HDHA,DHA,ROS,NA
10_HDHA,DHA,LOX,NA
14_HDHA,DHA,LOX,NA
9_oxoODE,LA,LOX,NA
14_15__EpETE,EPA,CYP450,NA
8_HETE,ARA,ROS,NA
12_HETE,ARA,LOX,CYP450
8_9__EpETE,EPA,CYP450,NA
15_HETrE,Mead,LOX,NA
12_OxoETE,ARA,LOX,NA
5_HETE,ARA,LOX,NA
4_HDHA,DHA,LOX,NA
12.13_EpOME,LA,CYP450,NA
14_15__EET,ARA,CYP450,NA
9_10__EpOME,LA,CYP450,NA
16_17__EpDPA,DHA,CYP450,NA
13_14__EpDPA,DHA,CYP450,NA
10_11__EpDPA,DHA,CYP450,NA
11_12__EET,ARA,CYP450,NA
5_HETrE,Mead,LOX,NA
EPA,EPA,None,NA
LA,LA,None,NA
ALA,ALA,None,NA
DHA,DHA,None,NA
AA,ARA,None,NA
DGLA,DGLA,None,NA
DPA,NA,None,NA
